gene,gains,losses,count,dist,loss_dist,gain_subsize,loss_subsize,gain_subsize_nofilter,loss_subsize_nofilter,gain_subsize_thresh,loss_subsize_thresh,root_state,gains_flow,losses_flow,gains_markov,losses_markov,gains_entropy,losses_entropy,gain_subsize_marginal,loss_subsize_marginal,gain_subsize_marginal_nofilter,loss_subsize_marginal_nofilter,gain_subsize_marginal_thresh,loss_subsize_marginal_thresh,gain_subsize_entropy,loss_subsize_entropy,gain_subsize_entropy_nofilter,loss_subsize_entropy_nofilter,gain_subsize_entropy_thresh,loss_subsize_entropy_thresh,dist_marginal,loss_dist_marginal,root_prob
yqiK,0,9,471,0.03047,0.13083,0.10549000000000004,5.4195099999999945,0.10549000000000004,5.914249999999996,0.10549000000000004,4.280610000000007,1,7.516081397574229,8.866598002987846,0.1880149671847388,0.18334269044122753,4.94525538222654,5.222677955104256,0.20919003560455987,5.756766738162978,0.2111933538192798,5.80854664618072,0.19276579215499626,4.235354709783256,0.1599811253898205,4.602678037749992,0.16152462414334462,4.642572959574522,0.14732663000018986,3.428482731260155,0.03047,0.13083,0.962751231935292
group_16318,0,14,471,0.03047,0.11102,0.11268000000000002,5.412319999999995,0.23512999999999995,5.784609999999998,0.11268000000000002,4.834140000000003,1,12.28154695698086,15.608802027944675,0.240728017673661,0.34449702747522515,9.36798599674962,12.411345423255355,0.25388066815768495,5.712076105609852,0.25619223910048944,5.763547760899509,0.23492860937139637,4.7367412217252785,0.18916682125106146,4.264113790621969,0.19088711612638135,4.302419525989795,0.17506250413793106,3.5382595365311764,0.03047,0.11102,0.9570205972246174
rpnA,17,1,471,0.03047,0.13664,0.4932300000000001,5.031769999999996,0.4932300000000001,5.526509999999999,0.4932300000000001,3.525970000000005,1,20.934322371403727,1.557669774764856,0.3811483961478619,0.02743903785322258,11.391362262766506,0.508530344004524,0.8615938149283228,5.104362958839216,0.8621253567909274,5.157614643209074,0.8578726539477334,3.249314662859999,0.6378919103622395,4.692035261450485,0.6383797211559769,4.7410425588068295,0.6344414145534675,2.9462445938526582,0.03047,0.13448000000000002,0.988687200865836
ybcH,2,9,471,0.03047,0.11817000000000001,0.23120999999999992,5.293789999999996,0.23120999999999992,5.788529999999998,0.23121,4.653610000000005,1,7.473475398526144,9.483686071646911,0.19933615868767984,0.16956991758553808,3.7684779761428664,4.128895988141844,0.3214215937472797,5.644535180020256,0.3245264991570334,5.695213500842964,0.29763226033892726,4.631381316070631,0.19262450373913245,4.5748388162411215,0.19473761215091984,4.609399709740341,0.17608495192920903,3.8859562783240738,0.03047,0.11817000000000001,0.9394870199165986
betI,0,14,471,0.03047,0.12662,0.14121,5.383789999999994,0.19939999999999997,5.820339999999997,0.14120999999999997,4.490870000000004,1,12.704567885778706,15.62239385310038,0.23493632040568765,0.3102571650413575,9.646540949578409,11.877140299974133,0.2462223892918163,5.719734384475711,0.24845540537190886,5.77128459462808,0.22791438444672302,4.441238600160376,0.18492587014528417,4.302558798605428,0.18660238935854745,4.341262020914791,0.17118046000115178,3.34268091613542,0.03047,0.12662,0.9584811801649638
betA,0,14,471,0.03047,0.12662,0.14121,5.383789999999994,0.19939999999999997,5.820339999999997,0.14120999999999997,4.490870000000004,1,12.704567885778706,15.62239385310038,0.23493632040568765,0.3102571650413575,9.646540949578409,11.877140299974133,0.2462223892918163,5.719734384475711,0.24845540537190886,5.77128459462808,0.22791438444672302,4.441238600160376,0.18492587014528417,4.302558798605428,0.18660238935854745,4.341262020914791,0.17118046000115178,3.34268091613542,0.03047,0.12662,0.9584811801649638
group_12937,1,6,471,0.03047,0.13005,0.15431000000000003,5.3706899999999935,0.15431000000000003,5.865429999999996,0.15431000000000003,4.349450000000004,1,4.033361208010969,5.997133009077223,0.12093121787312947,0.12213276653289443,2.1724477560420405,2.937085878314822,0.19440438103630836,5.7715523927312296,0.1963762563642522,5.823363743635746,0.1791823124844233,4.360940942929609,0.13503890021031073,5.083877481480023,0.13655930148053225,5.123965707297049,0.12320662371673205,3.970328987659498,0.03047,0.13005,0.9602381806573271
betT,0,14,471,0.03047,0.12662,0.16583999999999996,5.359159999999994,0.22402999999999995,5.795709999999998,0.16584,4.466240000000003,1,12.704389413355063,15.622394759960475,0.23391380900376252,0.33386419580454046,9.646356261628148,11.876993766553019,0.24622251184281807,5.719734261924722,0.24845553110445984,5.771284468895541,0.22791448091290656,4.441238556514917,0.18492589182832925,4.30255847151398,0.1866024128320143,4.341261677623966,0.1711804670049245,3.3426809908044244,0.03047,0.12662,0.9584811210099178
tdcR,0,3,471,0.03047,0.15111000000000002,0.08704999999999999,5.437949999999995,0.08704999999999999,5.932689999999998,0.08705,3.126110000000003,1,0.18382465102421403,3.035065864717428,0.005999274186880547,0.05570986367486651,0.16089385313838733,2.516719785373803,0.04145768221094373,5.924499091556586,0.041731734524572545,5.9780082654754185,0.03973771407829224,3.1749094491587755,0.040131718403523586,5.860517751715641,0.0403894532677542,5.9116500942945915,0.03852373718824728,3.1419646924145352,0.03047,0.15111000000000002,0.9950902645003137
ybdO,1,9,470,0.03047,0.13243,0.22159,5.303409999999992,0.22159,5.798149999999998,0.22158999999999998,4.037980000000008,1,7.251463192251183,8.809898463740538,0.18810324932506967,0.22740419013849852,3.755450004916942,3.313479472745696,0.2730922686154768,5.69286450515207,0.2758947981863338,5.743845201813674,0.2504089122616513,4.065880022688008,0.18056737749945584,4.627932591097778,0.1825414145992456,4.663864474303242,0.16453639951699212,3.435308933272798,0.03047,0.13243,0.9463968798903722
group_15076,0,15,470,0.03047,0.12662,0.11362000000000001,5.411379999999996,0.17180999999999996,5.847929999999998,0.11362000000000001,4.518460000000004,1,13.697914464688324,16.598069949302566,0.24232584177883876,0.2898881454703538,10.399398056092904,12.802503251397557,0.25295700697625817,5.712999766791282,0.2552469954939334,5.764493004506068,0.2341818977190657,4.435916954819912,0.1887840879960278,4.267801589186434,0.19049244143109495,4.306216039238826,0.17477767610980266,3.315085541984887,0.03047,0.12662,0.9574218826558035
rcsA,1,6,470,0.03047,0.14736000000000002,0.0399,5.485099999999997,0.0399,5.979839999999999,0.039900000000000005,3.4330300000000027,1,5.815384044465807,6.00216222817893,0.12986705872204934,0.06299816962240348,3.996909111102467,4.101853539998465,0.15494304847423238,5.8110137252932965,0.1562909810687075,5.863449018931283,0.14389192782670937,3.3772059732148993,0.1301657420035698,4.9611866869078565,0.13128588717268633,5.004760928771931,0.12098211553786706,2.9184452546487716,0.03047,0.14736000000000002,0.974937261027452
speFL,3,4,470,0.03047,0.03047,0.5934499999999999,4.931549999999993,0.6577099999999999,5.362029999999995,0.5934499999999998,4.931550000000003,1,4.775718899123113,3.2728526512041882,0.21784709311368264,0.10399983569305073,2.722882531456338,1.7907942008683277,0.7900804685969546,5.175876305170582,0.801068491126928,5.218671508873071,0.6616042221930105,4.863395777806989,0.5946836436016975,4.855713783383568,0.5994130406107552,4.886761086480543,0.5215364216624746,4.616829361016301,0.03047,0.03047,0.41790057370806427
pdeL,0,16,470,0.03047,0.11102,0.17085,5.354149999999994,0.2933,5.726439999999998,0.17084999999999995,4.775970000000003,1,13.207546617323215,16.573068982970725,0.24703090083313306,0.4055616780808083,9.984043467832798,13.163131502284472,0.2635108636642485,5.7024459101032905,0.2659038586680305,5.753836141331969,0.2438912270149186,4.728653928358001,0.19450097701721833,4.215455745215672,0.19626574484930354,4.253354623739218,0.1800320359700308,3.4973110095139717,0.03047,0.11102,0.9555066668288147
betB,0,15,470,0.03047,0.12662,0.14386999999999997,5.381129999999994,0.20205999999999996,5.8176799999999975,0.14386999999999997,4.488210000000003,1,13.44827000085477,16.55203994661575,0.25092332068835344,0.31992382991001955,10.032327044462878,12.354593516836141,0.26350189564061,5.702454878126929,0.2658927715916757,5.753847228408324,0.24389963263571737,4.427874173477706,0.19445123868449646,4.21571428739619,0.19621486063541133,4.253623689188856,0.1799916924635287,3.275523932505558,0.03047,0.12662,0.9555460667098722
group_4680,4,13,470,0.03047,0.13399,0.17501,5.349989999999995,0.17501,5.844729999999998,0.17501000000000003,3.933190000000008,1,15.080188120300724,13.020113271181245,0.3006974861079371,0.23990538656015373,8.629610815175976,6.221357806817507,0.3487978029741699,5.617158970793367,0.35177915124504255,5.667960848754952,0.3243544465492777,3.8619289905409793,0.2223563477502645,4.028317390122381,0.2244163372753972,4.06341940671053,0.20546697650899148,2.811740522482356,0.03047,0.13399,0.9445672382228314
lgoR,2,15,469,0.03047,0.11066000000000001,0.13533000000000003,5.389669999999994,0.25778,5.7619599999999975,0.13533000000000003,4.826040000000001,1,11.933371710963215,15.04587427792412,0.3055149698656753,0.3444802509395943,7.534103842715339,8.879890752866288,0.3377234208653574,5.628233352902177,0.34098161032790303,5.6787583896720895,0.3110102693419342,4.684753558286934,0.2245457429233197,3.9556145493620773,0.22672956678854111,3.9894793022741473,0.20664106411063077,3.3241015177431734,0.03047,0.11066000000000001,0.9394199542614639
fliO,1,11,469,0.03047,0.12662,0.13526000000000002,5.389739999999996,0.19345,5.826289999999997,0.13526000000000005,4.496820000000002,1,10.070588564704712,10.939180947347063,0.2404302574100195,0.26951217273162265,6.210450366374054,6.279974907005987,0.26787096708219804,5.698085806685342,0.2703685729460259,5.749371427053976,0.24739368939846984,4.425822552319189,0.18852018813005192,4.326518362542945,0.19034076718299744,4.363901973598487,0.17359368443150072,3.397652433642197,0.03047,0.12662,0.9535616963424147
rcnA,0,14,469,0.03047,0.14227,0.11453000000000002,5.410469999999996,0.17271999999999996,5.847019999999999,0.11452999999999999,3.7596200000000044,1,13.504430944273697,13.328762066202726,0.3101572491651972,0.23594663939519642,7.47745964731857,6.304971975314533,0.3590754864499086,5.606881287317626,0.3621621657743819,5.657577834225615,0.3337685904888993,3.630982428864293,0.22693718178193617,3.9862150721865803,0.2290453826419315,4.020840795395409,0.20965255670807464,2.6167649495491294,0.03047,0.14227,0.9426090559835306
ydjY,2,5,469,0.03047,0.08525,0.28073,5.244269999999996,0.33957,5.680169999999997,0.28073000000000004,4.956560000000001,1,3.1453120762901356,5.163687152884641,0.08373627343582168,0.13636521973904178,2.4263377691455768,3.0714907227689126,0.3017733223092954,5.66418345145824,0.303535190127683,5.716204809872313,0.283701225383757,4.961226446906514,0.22969134601887492,5.352299204052274,0.23086619778675316,5.394778879348685,0.21942855898863228,4.77697837664985,0.03047,0.08525,0.976572221653773
fliN,1,11,469,0.03047,0.12662,0.13526000000000002,5.389739999999996,0.19345,5.826289999999997,0.13526000000000005,4.496820000000002,1,10.070588564704712,10.939180947347063,0.2404302574100195,0.26951217273162265,6.210450366374054,6.279974907005987,0.26787096708219804,5.698085806685342,0.2703685729460259,5.749371427053976,0.24739368939846984,4.425822552319189,0.18852018813005192,4.326518362542945,0.19034076718299744,4.363901973598487,0.17359368443150072,3.397652433642197,0.03047,0.12662,0.9535616963424147
fliH,1,11,469,0.03047,0.12662,0.13526000000000002,5.389739999999996,0.19345,5.826289999999997,0.13526000000000005,4.496820000000002,1,10.070588564704712,10.939180947347063,0.2404302574100195,0.26951217273162265,6.210450366374054,6.279974907005987,0.26787096708219804,5.698085806685342,0.2703685729460259,5.749371427053976,0.24739368939846984,4.425822552319189,0.18852018813005192,4.326518362542945,0.19034076718299744,4.363901973598487,0.17359368443150072,3.397652433642197,0.03047,0.12662,0.9535616963424147
nfrA,2,10,469,0.03047,0.11817000000000001,0.27474,5.2502599999999955,0.27474,5.744999999999997,0.27474000000000004,4.610080000000004,1,7.972656915494664,10.26136500244453,0.22140044397688158,0.2102681042056839,3.7983186418337103,4.362217989622928,0.3566304954547788,5.609326278312751,0.36026256927580214,5.659477430724189,0.3294402174467697,4.612099862023377,0.19994566137055714,4.4733973043009865,0.20226050955498293,4.505766109017036,0.18204300272989277,3.8386194533667513,0.03047,0.11817000000000001,0.9299069139107604
fliP,1,11,469,0.03047,0.12662,0.13526000000000002,5.389739999999996,0.19345,5.826289999999997,0.13526000000000005,4.496820000000002,1,10.070588564704712,10.939180947347063,0.2404302574100195,0.26951217273162265,6.210450366374054,6.279974907005987,0.26787096708219804,5.698085806685342,0.2703685729460259,5.749371427053976,0.24739368939846984,4.425822552319189,0.18852018813005192,4.326518362542945,0.19034076718299744,4.363901973598487,0.17359368443150072,3.397652433642197,0.03047,0.12662,0.9535616963424147
